名称,类型,预充值金额,初始价格,最终价格,通用流量,定向流量,通话时长
拼多多专用移动畅享卡,长期卡,170,19,19,158G,30G,0分钟
联通海语卡【一年19】,短期卡,100,19,29,135G,0G,100分钟
联通沧明卡【29元210G+200分钟】,短期卡,100,29,39,210G,0G,200分钟
联通沧露卡新【19元200G+100分钟】,短期卡,100,19,39,200G,0G,100分钟
浙江联通省内专属卡【29元185G+100分钟】,长期卡,100,29,29,185G,0G,100分钟
联通云南专属卡新【长期套餐】,长期卡,100,29,29,135G,0G,100分钟
联通梦慕卡【29元235G】,短期卡,50,39,29,205G,30G,0分钟
联通沧幕卡【29元235G】,长期卡,100,39,39,205G,30G,0分钟
【随时发货】联通海冲卡【爆款】,长期卡,100,29,29,135G,0G,100分钟
【随时发货】联通海湖卡新【爆款】,长期卡,100,29,29,135G,0G,100分钟
联通广东省内专用卡【一年每月20】,短期卡,100,20,39,55G,240G,100分钟
联通云南专属卡【长期套餐】,长期卡,100,29,29,135G,0G,100分钟
广电福兔卡【最新】（假期后发货）,短期卡,50,19,29,162G,30G,0分钟
联通海锅卡【长期】,长期卡,100,29,29,183G,0G,100分钟
联通沧语卡【一年19】,短期卡,100,19,29,135G,0G,100分钟
联通沧彩卡【一年19】,短期卡,100,19,29,135G,0G,100分钟
联通沧幕卡【爆款】,短期卡,100,39,29,205G,30G,0分钟
广电福兔卡【新】（5.1假期后发货）,短期卡,100,19,39,162G,30G,0分钟
联通小赢卡,短期卡,100,19,29,135G,0G,100分钟
联通沧州卡,短期卡,100,19,29,135G,0G,100分钟
联通19元135G+100分钟小土豆卡,短期卡,100,19,29,135G,0G,100分钟
联通19元135G+100分钟小辣椒卡,短期卡,100,19,29,135G,0G,100分钟
安徽联通测试,长期卡,50,50,50,1G,10G,1分钟
梦龙湖北星【29元135G+100分钟】,长期卡,100,29,29,105G,30G,100分钟
电信沧柏卡,长期卡,100,19,19,155G,30G,0分钟
【新随时发货】联通海冲卡【爆款】【测试选号】,长期卡,100,29,29,135G,0G,100分钟
联通海期卡【49元100G+2000分钟】,短期卡,100,59,49,100G,0G,2000分钟
联通沧幕卡【爆款】青,长期卡,100,39,39,205G,30G,0分钟
联通海湖卡【新上】【发货率极高】,长期卡,100,29,29,135G,0G,100分钟
电信卡,长期卡,100,39,39,155G,30G,0分钟
联通29元135G+100分钟浙江省内爆款卡【只发浙江省内】,长期卡,100,29,29,135G,0G,100分钟
广电福兔卡19元 192G（收货地即为卡的归属地）,短期卡,100,19,39,162G,30G,0分钟
广电福兔卡19元  192G【收货地为归属地】,短期卡,50,19,29,162G,30G,0分钟
